,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Review Count,PriceRange,Genre
0,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
1,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
2,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
3,Poach 蟲二,Mong Kok,"Rooftop, 618 Shanghai Street, Mong Kok",40615,535,43,(738 Reviews),$101-200,"['Japanese', 'Cake']"
4,Tea Brush 茶墨,Tsim Sha Tsui,"Shop L411, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",9200,792,25,(1041 Reviews),Below $50,"['Japanese', 'Tea House']"
5,Yuki House Ramen 幸屋,Wan Chai,"G/F, Wai Cheong Building, 5-9A Gresson Street, Wan Chai",16907,639,18,(718 Reviews),$51-100,"['Japanese', 'Ramen']"
6,Tsukiji Japanese Restaurant (Island Beverley) 築地日本料理 (金百利廣場),Causeway Bay,"Room R1, 7/F, Island Beverley, 1 Great George Street, Causeway Bay",20505,826,19,(933 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
7,Isono Suisan 磯野水產,Causeway Bay,"19/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",28214,855,10,(895 Reviews),$201-400,"['Japanese', 'Seafood']"
8,J-City 丼瀛,Kwun Tong,"Shop B, 1/F, COS Centre, 56 Tsun Yip Street, Kwun Tong",18124,516,9,(569 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
9,Fukuoka Hambageu 福岡漢堡扒,Tsim Sha Tsui,"Shop A, G/F, 11 Hau Fook Street, Tsim Sha Tsui",15800,499,10,(584 Reviews),$101-200,"['Japanese', 'Korean BBQ']"
10,Lucky Ristorante,Mong Kok,"Shop 301B, 3/F, 618 Shanghai Street, Mong Kok",13625,401,6,(456 Reviews),$101-200,"['Japanese', 'Pizza']"
