,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Net Positive Review,Review Count,PriceRange,Genre,Food,Street,addr
3,Poach 蟲二,Mong Kok,"Rooftop, 618 Shanghai Street, Mong Kok",40615.0,535.0,43.0,492.0,738,$101-200,"  Japanese ,  Cake  ",  Cake  , 618 Shanghai Street,618 Shanghai Street Mong Kok
4,Tea Brush 茶墨,Tsim Sha Tsui,"Shop L411, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",9200.0,792.0,25.0,767.0,1041,Below $50,"  Japanese ,  Tea House  ",  Tea House  , 100 Nathan Road,100 Nathan Road Tsim Sha Tsui
5,Yuki House Ramen 幸屋,Wan Chai,"G/F, Wai Cheong Building, 5-9A Gresson Street, Wan Chai",16907.0,639.0,18.0,621.0,718,$51-100,"  Japanese ,  Ramen  ",  Ramen  , 5-9A Gresson Street,5-9A Gresson Street Wan Chai
6,Tsukiji Japanese Restaurant (Island Beverley) 築地日本料理 (金百利廣場),Causeway Bay,"Room R1, 7/F, Island Beverley, 1 Great George Street, Causeway Bay",20505.0,826.0,19.0,807.0,933,$101-200,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 1 Great George Street,1 Great George Street Causeway Bay
7,Isono Suisan 磯野水產,Causeway Bay,"19/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",28214.0,855.0,10.0,845.0,895,$201-400,"  Japanese ,  Seafood  ",  Seafood  , 525 Hennessy Road,525 Hennessy Road Causeway Bay
8,J-City 丼瀛,Kwun Tong,"Shop B, 1/F, COS Centre, 56 Tsun Yip Street, Kwun Tong",18124.0,516.0,9.0,507.0,569,$101-200,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 56 Tsun Yip Street,56 Tsun Yip Street Kwun Tong
9,Fukuoka Hambageu 福岡漢堡扒,Tsim Sha Tsui,"Shop A, G/F, 11 Hau Fook Street, Tsim Sha Tsui",15800.0,499.0,10.0,489.0,584,$101-200,"  Japanese ,  Korean BBQ  ",  Korean BBQ  , 11 Hau Fook Street,11 Hau Fook Street Tsim Sha Tsui
10,Lucky Ristorante,Mong Kok,"Shop 301B, 3/F, 618 Shanghai Street, Mong Kok",13625.0,401.0,6.0,395.0,456,$101-200,"  Japanese ,  Pizza  ",  Pizza  , 618 Shanghai Street,618 Shanghai Street Mong Kok
11,Pancake House HoiHoi (Megabox),Kowloon Bay,"Shop 19-20, 1/F, Enterprise Square Five, Megabox, 38 Wang Chiu Road, Kowloon Bay",9456.0,407.0,17.0,390.0,525,$101-200,"  Japanese ,  Dessert  ",  Dessert  , 38 Wang Chiu Road,38 Wang Chiu Road Kowloon Bay
12,Asa 朝,Prince Edward,"G/F, 39 Tai Nan Street, Prince Edward",11284.0,349.0,15.0,334.0,386,$201-400,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 39 Tai Nan Street,39 Tai Nan Street Prince Edward
13,野川拉麵の深燒食堂,Yuen Long,"Shop B, G/F,Wing Fung Building, 40-48 Yau San Street, Yuen Long",9043.0,500.0,14.0,486.0,570,$51-100,"  Japanese ,  Ramen  ",  Ramen  , 40-48 Yau San Street,40-48 Yau San Street Yuen Long
14,Hungry Monkey (金朝陽中心二期),Causeway Bay,"Shop B, G/F, Midtown Soundwill Plaza II, 1 Tang Lung Street, Causeway Bay",18228.0,358.0,13.0,345.0,400,$201-400,"  Japanese ,  Teppanyaki  ",  Teppanyaki  , 1 Tang Lung Street,1 Tang Lung Street Causeway Bay
15,GAIJIN,Causeway Bay,"9/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",15720.0,282.0,3.0,279.0,304,$201-400,"  Japanese ,  Steak House  ",  Steak House  , 28 Tang Lung Street,28 Tang Lung Street Causeway Bay
16,Naruto Japanese Restaurant 鳴門割烹料理,Kowloon Bay,"shop 2, 2/F, Exchange Tower, 33 Wang Chiu Road,, Kowloon Bay",9235.0,366.0,18.0,348.0,438,$201-400,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  ,,Kowloon Bay
17,友拉麵,Tsuen Wan,"Shop 53-54, 1/F, Cheong Ning Building, 202-216 Sai Lau Kok Road, Tsuen Wan",4065.0,261.0,3.0,258.0,291,$51-100,"  Japanese ,  Ramen  ",  Ramen  , 202-216 Sai Lau Kok Road,202-216 Sai Lau Kok Road Tsuen Wan
