,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Review Count,PriceRange,Genre
0,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
1,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
2,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
3,Towada Sushi 十和田總本店,Tsim Sha Tsui,"G/F, Chinachem Cameron Centre, 42 Cameron Road, Tsim Sha Tsui",44991,1197,39,(1375 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
4,Gram cafe & pancakes,Tsim Sha Tsui,"Shop L408, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",21147,1024,148,(1464 Reviews),$101-200,"['Japanese', 'Dessert']"
5,KOKON2 (Kwun Tong Industrial Centre) 古今二 (官塘工業中心),Kwun Tong,"Room B, 1/F, Kwun Tong Industrial Centre Phase 4, 436-446 Kwun Tong Road, Kwun Tong",36178,825,14,(975 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
6,Shinko 申子居酒屋,Mong Kok,"Shop 1, G/F, Ngai Hing Mansion, 74-76 Hak Po Street, Mong Kok",47156,787,18,(884 Reviews),$201-400,"['Japanese', 'Wine']"
7,Poach 蟲二,Mong Kok,"Rooftop, 618 Shanghai Street, Mong Kok",40615,535,43,(738 Reviews),$101-200,"['Japanese', 'Cake']"
8,Tea Brush 茶墨,Tsim Sha Tsui,"Shop L411, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",9200,792,25,(1041 Reviews),Below $50,"['Japanese', 'Tea House']"
9,Flame Japanese Cuisine 焱丸水產,Tsim Sha Tsui,"Shop 5&6, G/F, Wah Fung Building, 23 Minden Avenue, Tsim Sha Tsui",58704,1119,26,(1277 Reviews),$201-400,"['Japanese', 'Seafood']"
10,JUST'er Bar & Restaurant,Tsim Sha Tsui,"Shop A1-A2, G/F, 13 Hillwood Road, Tsim Sha Tsui",23984,1042,26,(1148 Reviews),$101-200,"['Japanese', 'Seafood']"
11,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,807,30,(914 Reviews),$201-400,"['Japanese', 'Seafood']"
12,Kikanbo 鬼金棒,Tsim Sha Tsui,"G/F, 20 Cameron Road, Tsim Sha Tsui",15078,574,6,(678 Reviews),$101-200,"['Japanese', 'Ramen']"
13,Yakiniku More 牛魔,Tsim Sha Tsui,"Shop 5-6, G/F, 8 Minden Avenue, Tsim Sha Tsui",35737,762,19,(841 Reviews),$201-400,"['Japanese', 'BBQ']"
14,G One Sushi Japanese Restaurant (Hau Fook Street) 鮨一 (厚福街),Tsim Sha Tsui,"18/F-20/F, The Lamma Tower, 12 Hau Fook Street, Tsim Sha Tsui",55249,801,32,(1014 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
15,Nagasakayaki 長阪燒,Mong Kok,"2/F, 189 Portland Street, Mong Kok",32039,642,15,(739 Reviews),$201-400,"['Japanese', 'Robatayaki']"
16,J-City 丼瀛,Kwun Tong,"Shop B, 1/F, COS Centre, 56 Tsun Yip Street, Kwun Tong",18123,516,9,(569 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
17,Fukuoka Hambageu 福岡漢堡扒,Tsim Sha Tsui,"Shop A, G/F, 11 Hau Fook Street, Tsim Sha Tsui",15800,499,10,(584 Reviews),$101-200,"['Japanese', 'Korean BBQ']"
18,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
