,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Net Positive Review,Review Count,Rating,PriceRange,Genre,Food,Street,addr
0,Towada Sushi 十和田總本店,Tsim Sha Tsui,"G/F, Chinachem Cameron Centre, 42 Cameron Road, Tsim Sha Tsui",44991.0,1197.0,39.0,1158.0,1375,gp1,300,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 42 Cameron Road,42 Cameron Road Tsim Sha Tsui
1,Gram cafe & pancakes,Tsim Sha Tsui,"Shop L408, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",21147.0,1024.0,148.0,876.0,1464,gp1,150,"  Japanese ,  Dessert  ",  Dessert  , 100 Nathan Road,100 Nathan Road Tsim Sha Tsui
2,KOKON2 (Kwun Tong Industrial Centre) 古今二 (官塘工業中心),Kwun Tong,"Room B, 1/F, Kwun Tong Industrial Centre Phase 4, 436-446 Kwun Tong Road, Kwun Tong",36178.0,825.0,14.0,811.0,975,gp1,300,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 436-446 Kwun Tong Road,436-446 Kwun Tong Road Kwun Tong
3,Shinko 申子居酒屋,Mong Kok,"Shop 1, G/F, Ngai Hing Mansion, 74-76 Hak Po Street, Mong Kok",47156.0,787.0,18.0,769.0,884,gp1,300,"  Japanese ,  Wine  ",  Wine  , 74-76 Hak Po Street,74-76 Hak Po Street Mong Kok
4,Poach 蟲二,Mong Kok,"Rooftop, 618 Shanghai Street, Mong Kok",40615.0,535.0,43.0,492.0,738,gp1,150,"  Japanese ,  Cake  ",  Cake  , 618 Shanghai Street,618 Shanghai Street Mong Kok
5,Tea Brush 茶墨,Tsim Sha Tsui,"Shop L411, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",9200.0,792.0,25.0,767.0,1041,gp1,25,"  Japanese ,  Tea House  ",  Tea House  , 100 Nathan Road,100 Nathan Road Tsim Sha Tsui
6,Flame Japanese Cuisine 焱丸水產,Tsim Sha Tsui,"Shop 5&6, G/F, Wah Fung Building, 23 Minden Avenue, Tsim Sha Tsui",58704.0,1119.0,26.0,1093.0,1277,gp1,300,"  Japanese ,  Seafood  ",  Seafood  , 23 Minden Avenue,23 Minden Avenue Tsim Sha Tsui
7,JUST'er Bar & Restaurant,Tsim Sha Tsui,"Shop A1-A2, G/F, 13 Hillwood Road, Tsim Sha Tsui",23984.0,1042.0,26.0,1016.0,1148,gp1,150,"  Japanese ,  Seafood  ",  Seafood  , 13 Hillwood Road,13 Hillwood Road Tsim Sha Tsui
8,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498.0,807.0,30.0,777.0,914,gp1,300,"  Japanese ,  Seafood  ",  Seafood  , 3A-3C Cameron Road,3A-3C Cameron Road Tsim Sha Tsui
9,Kikanbo 鬼金棒,Tsim Sha Tsui,"G/F, 20 Cameron Road, Tsim Sha Tsui",15078.0,574.0,6.0,568.0,678,gp1,150,"  Japanese ,  Ramen  ",  Ramen  , 20 Cameron Road,20 Cameron Road Tsim Sha Tsui
10,Yakiniku More 牛魔,Tsim Sha Tsui,"Shop 5-6, G/F, 8 Minden Avenue, Tsim Sha Tsui",35737.0,762.0,19.0,743.0,841,gp1,300,"  Japanese ,  BBQ  ",  BBQ  , 8 Minden Avenue,8 Minden Avenue Tsim Sha Tsui
11,G One Sushi Japanese Restaurant (Hau Fook Street) 鮨一 (厚福街),Tsim Sha Tsui,"18/F-20/F, The Lamma Tower, 12 Hau Fook Street, Tsim Sha Tsui",55249.0,801.0,32.0,769.0,1014,gp1,600,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 12 Hau Fook Street,12 Hau Fook Street Tsim Sha Tsui
12,Nagasakayaki 長阪燒,Mong Kok,"2/F, 189 Portland Street, Mong Kok",32039.0,642.0,15.0,627.0,739,gp1,300,"  Japanese ,  Robatayaki  ",  Robatayaki  , 189 Portland Street,189 Portland Street Mong Kok
13,J-City 丼瀛,Kwun Tong,"Shop B, 1/F, COS Centre, 56 Tsun Yip Street, Kwun Tong",18123.0,516.0,9.0,507.0,569,gp1,150,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 56 Tsun Yip Street,56 Tsun Yip Street Kwun Tong
14,Fukuoka Hambageu 福岡漢堡扒,Tsim Sha Tsui,"Shop A, G/F, 11 Hau Fook Street, Tsim Sha Tsui",15800.0,499.0,10.0,489.0,584,gp1,150,"  Japanese ,  Korean BBQ  ",  Korean BBQ  , 11 Hau Fook Street,11 Hau Fook Street Tsim Sha Tsui
15,家後,Sham Shui Po,"G/F, 211 Ki Lung Street, Sham Shui Po",25621.0,482.0,3.0,479.0,563,gp1,25,"  Japanese ,  Noodles/Rice Noodles  ",  Noodles/Rice Noodles  , 211 Ki Lung Street,211 Ki Lung Street Sham Shui Po
16,Wulu Restaurant 醉胡爐,Tsim Sha Tsui,"G/F, Perfect Commercial Building, 20 Austin Avenue, Tsim Sha Tsui",31439.0,872.0,13.0,859.0,955,gp1,300,"  Japanese ,  Hot Pot  ",  Hot Pot  , 20 Austin Avenue,20 Austin Avenue Tsim Sha Tsui
17,NIHON RYORI 日本野,Mong Kok,"9/F, Ginza Plaza, 2A Sai Yeung Choi Street South, Mong Kok",27565.0,685.0,42.0,643.0,805,gp1,150,"  Japanese ,  Roast Meat  ",  Roast Meat  , 2A Sai Yeung Choi Street South,2A Sai Yeung Choi Street South Mong Kok
18,KUROMON AQUATIC JAPANESE RESTAURANT 黑門水產すいさん,Tsim Sha Tsui,"Shop 3 & 4, G/F, 8 Minden Avenue, Tsim Sha Tsui",37021.0,739.0,34.0,705.0,848,gp1,300,"  Japanese ,  Seafood  ",  Seafood  , 8 Minden Avenue,8 Minden Avenue Tsim Sha Tsui
19,Mokumoku Yakiton (厚福街),Tsim Sha Tsui,"16/F, The Lamma Tower, 12 Hau Fook Street, Tsim Sha Tsui",26422.0,525.0,14.0,511.0,561,gp1,300,"  Japanese ,  Skewer  ",  Skewer  , 12 Hau Fook Street,12 Hau Fook Street Tsim Sha Tsui
20,Lucky Ristorante,Mong Kok,"Shop 301B, 3/F, 618 Shanghai Street, Mong Kok",13625.0,401.0,6.0,395.0,456,gp1,150,"  Japanese ,  Pizza  ",  Pizza  , 618 Shanghai Street,618 Shanghai Street Mong Kok
21,Kobekyu (Nathan Road) 吉列牛忌廉烏冬專門店 (彌敦道),Mong Kok,"17/F, 726 Nathan Road, Mong Kok",49769.0,796.0,58.0,738.0,1107,gp1,150,"  Japanese ,  Udon  ",  Udon  , 726 Nathan Road,726 Nathan Road Mong Kok
22,Not Just Coffee (Man Hoo Court) 不籽是咖啡 (文豪閣),Yau Ma Tei,"Shop D, G/F, Man Hoo Court , 450 Nathan Road, Yau Ma Tei",28674.0,360.0,14.0,346.0,460,gp1,150,"  Japanese ,  Coffee Shop  ",  Coffee Shop  , 450 Nathan Road,450 Nathan Road Yau Ma Tei
23,Yakiniku Shin 燒肉臻,Tsim Sha Tsui,"Shop 102, 1/F, Multifield Plaza, 3-7A Prat Avenue, Tsim Sha Tsui",20283.0,417.0,4.0,413.0,443,gp1,300,"  Japanese ,  BBQ  ",  BBQ  , 3-7A Prat Avenue,3-7A Prat Avenue Tsim Sha Tsui
24,Tenohira Sushi 掌壽司,Kwun Tong,"Flat U, 5/F, Block 3, Camel Paint Buildings, 60 Hoi Yuen Street, Kwun Tong",33052.0,760.0,34.0,726.0,919,gp1,300,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 60 Hoi Yuen Street,60 Hoi Yuen Street Kwun Tong
25,Grandmama Cafe 婆婆珈琲屋,Tsim Sha Tsui,"1/F, The Nate, 176 Nathan Road, Tsim Sha Tsui",35964.0,273.0,17.0,256.0,479,gp1,150,"  Japanese ,  Dessert  ",  Dessert  , 176 Nathan Road,176 Nathan Road Tsim Sha Tsui
26,Pancake House HoiHoi (Megabox),Kowloon Bay,"Shop 19-20, 1/F, Enterprise Square Five, Megabox, 38 Wang Chiu Road, Kowloon Bay",9456.0,407.0,17.0,390.0,525,gp1,150,"  Japanese ,  Dessert  ",  Dessert  , 38 Wang Chiu Road,38 Wang Chiu Road Kowloon Bay
27,Issyokemen 一生懸麵,Mong Kok,"G/F, 73 Tung Choi Street, Mong Kok",27399.0,400.0,10.0,390.0,533,gp1,75,"  Japanese ,  Ramen  ",  Ramen  , 73 Tung Choi Street,73 Tung Choi Street Mong Kok
28,Gekiyasu Yakiniku 驚安燒肉商店,Tsim Sha Tsui,"Shop C, 3/F, China Insurance Building, 48 Cameron Road, Tsim Sha Tsui",36025.0,289.0,3.0,286.0,332,gp1,300,"  Japanese ,  Wine  ",  Wine  , 48 Cameron Road,48 Cameron Road Tsim Sha Tsui
29,Uni.kotomo 海膽仔,San Po Kong,"Shop Q, G/F, San Po Kong Mansion, 2-32 Yin Hing Street, San Po Kong",8556.0,582.0,10.0,572.0,637,gp1,150,"  Japanese ,  Ramen  ",  Ramen  , 2-32 Yin Hing Street,2-32 Yin Hing Street San Po Kong
30,Asa 朝,Prince Edward,"G/F, 39 Tai Nan Street, Prince Edward",11284.0,349.0,15.0,334.0,386,gp1,300,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 39 Tai Nan Street,39 Tai Nan Street Prince Edward
31,Easy Joe 二世祖,Tai Kok Tsui,"G/F, 18 Fuk Tsun Street, Tai Kok Tsui",26540.0,370.0,9.0,361.0,454,gp1,150,"  Japanese ,  Dessert  ",  Dessert  , 18 Fuk Tsun Street,18 Fuk Tsun Street Tai Kok Tsui
32,MUTA Restaurant by ATUM,Tsim Sha Tsui,"Shop B131, B1/F, Mira Place One, 132 Nathan Road, Tsim Sha Tsui",26415.0,391.0,7.0,384.0,447,gp1,150,"  Japanese ,  Yoshoku  ",  Yoshoku  , 132 Nathan Road,132 Nathan Road Tsim Sha Tsui
33,Kausumisu 牛匠石燒,Tsim Sha Tsui,"G/F, Fook Kiu Mansion, 34-36A Cameron Road, Tsim Sha Tsui",13468.0,467.0,11.0,456.0,524,gp1,300,"  Japanese ,  Ramen  ",  Ramen  , 34-36A Cameron Road,34-36A Cameron Road Tsim Sha Tsui
34,Kane Tsuru Ramen (Min Street) 金鶴拉麵 (閩街),Jordan,"G/F, 3 Min Street, Jordan",24824.0,736.0,13.0,723.0,866,gp1,150,"  Japanese ,  Ramen  ",  Ramen  , 3 Min Street,3 Min Street Jordan
35,Waki Shokudo (Wong Tai Sin Shopping Centre) 和氣食堂 (黃大仙中心),Wong Tai Sin,"Shop G12A, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",13025.0,919.0,15.0,904.0,1055,gp1,150,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 103 Ching Tak Street,103 Ching Tak Street Wong Tai Sin
36,TONO DAIKIYA 殿 大喜屋,Tsim Sha Tsui,"1/F, 26 Kimberley Road, Tsim Sha Tsui",83531.0,790.0,43.0,747.0,1093,gp1,300,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 26 Kimberley Road,26 Kimberley Road Tsim Sha Tsui
37,Sushi Sho 翔壽司,Tsim Sha Tsui,"Shop 4, G/F, Dorfu Court, 5-6 Hau Fook Street, Tsim Sha Tsui",16732.0,470.0,6.0,464.0,530,gp1,75,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 5-6 Hau Fook Street,5-6 Hau Fook Street Tsim Sha Tsui
